excavation;manuscript;house;start_wide;end_wide;start_narrow;end_narrow;total_amount;letter_type;high_society
Никитинский;928;В;1410;1450;1430;1450;участок земли;раздельная грамота;True
Никитинский;930;Б;1380;1420;1400;1410;;церковное;False
Никитинский;931;В;1340;1435;1400;1410;;бытовое;False
Никитинский;932;В;1320;1433;1400;1410;;судебное;True
Никитинский;933;А;1340;1425;1400;1410;;бытовое;True
Никитинский;937;Б;1350;1400;1380;1400;100 коробей м(олодога);финансовое;True
Никитинский;938;А;1360;1400;1380;1400;1 коробья ржи;долговой список;True
Никитинский;939;В;1350;1400;1380;1400;1 коробья ржи;финансовое;True
Никитинский;942;В;1350;1400;1380;1400;;бытовое;
Никитинский;948;Б;1320;1400;1360;1370;рожь и выжля;финансовое;True
Никитинский;949;Б;1340;1400;1340;1350;2 рубля и [пуз]…;финансовое;False
